TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,8,0
1,mpi-migrate,10,5
2,mpi-migrate,2,11
3,mpi-migrate,10,7
4,mpi-migrate,12,0
5,mpi-migrate,11,7
6,mpi-migrate,13,11
7,mpi-migrate,10,15
8,mpi-migrate,12,8
9,mpi-migrate,14,23
10,mpi-migrate,6,13
11,mpi-migrate,4,0
12,mpi-migrate,2,9
13,mpi-migrate,6,5
14,mpi-migrate,15,3
15,mpi-migrate,9,2
16,mpi-migrate,8,4
17,mpi-migrate,8,5
18,mpi-migrate,7,2
19,mpi-migrate,3,22
20,mpi-migrate,10,13
21,mpi-migrate,4,5
22,mpi-migrate,3,0
23,mpi-migrate,3,0
24,mpi-migrate,11,16
25,mpi-migrate,3,2
26,mpi-migrate,4,11
27,mpi-migrate,5,2
28,mpi-migrate,15,48
29,mpi-migrate,7,6
30,mpi-migrate,4,4
31,mpi-migrate,7,0
32,mpi-migrate,3,1
33,mpi-migrate,7,2
34,mpi-migrate,11,9
35,mpi-migrate,4,14
36,mpi-migrate,15,1
37,mpi-migrate,14,8
38,mpi-migrate,5,1
39,mpi-migrate,9,2
40,mpi-migrate,11,12
41,mpi-migrate,13,5
42,mpi-migrate,11,1
43,mpi-migrate,4,5
44,mpi-migrate,2,6
45,mpi-migrate,15,6
46,mpi-migrate,10,3
47,mpi-migrate,10,5
48,mpi-migrate,7,3
49,mpi-migrate,7,1
