TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,8,0
1,mpi-migrate,8,5
2,mpi-migrate,12,1
3,mpi-migrate,14,33
4,mpi-migrate,7,8
5,mpi-migrate,15,6
6,mpi-migrate,4,4
7,mpi-migrate,15,11
8,mpi-migrate,8,2
9,mpi-migrate,5,1
10,mpi-migrate,8,7
11,mpi-migrate,9,24
12,mpi-migrate,14,10
13,mpi-migrate,4,0
14,mpi-migrate,10,4
15,mpi-migrate,7,7
16,mpi-migrate,9,1
17,mpi-migrate,7,17
18,mpi-migrate,14,0
19,mpi-migrate,9,5
20,mpi-migrate,7,0
21,mpi-migrate,9,15
22,mpi-migrate,9,1
23,mpi-migrate,13,9
24,mpi-migrate,14,7
25,mpi-migrate,15,1
26,mpi-migrate,7,13
27,mpi-migrate,8,16
28,mpi-migrate,4,8
29,mpi-migrate,10,0
30,mpi-migrate,12,25
31,mpi-migrate,5,10
32,mpi-migrate,13,24
33,mpi-migrate,8,5
34,mpi-migrate,7,2
35,mpi-migrate,9,9
36,mpi-migrate,14,3
37,mpi-migrate,6,10
38,mpi-migrate,6,9
39,mpi-migrate,11,7
40,mpi-migrate,5,1
41,mpi-migrate,11,3
42,mpi-migrate,8,0
43,mpi-migrate,11,0
44,mpi-migrate,13,25
45,mpi-migrate,10,10
46,mpi-migrate,8,3
47,mpi-migrate,6,11
48,mpi-migrate,6,1
49,mpi-migrate,4,0
