TaskId,App,Size,InterArrivalTimeSecs
0,mpi-locality,13,0
1,mpi-locality,3,2
2,mpi-locality,12,10
3,mpi-locality,2,41
4,mpi-locality,12,2
5,mpi-locality,15,18
6,mpi-locality,14,1
7,mpi-locality,15,21
8,mpi-locality,6,1
9,mpi-locality,12,5
10,mpi-locality,12,34
11,mpi-locality,9,17
12,mpi-locality,5,12
13,mpi-locality,3,5
14,mpi-locality,9,4
15,mpi-locality,15,4
16,mpi-locality,4,3
17,mpi-locality,10,0
18,mpi-locality,2,11
19,mpi-locality,13,18
20,mpi-locality,11,5
21,mpi-locality,2,11
22,mpi-locality,12,21
23,mpi-locality,7,15
24,mpi-locality,7,6
