TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,14,0
1,mpi-migrate,4,28
2,mpi-migrate,2,15
3,mpi-migrate,10,5
4,mpi-migrate,13,34
5,mpi-migrate,14,4
6,mpi-migrate,6,5
7,mpi-migrate,9,2
8,mpi-migrate,7,6
9,mpi-migrate,3,0
10,mpi-migrate,9,7
11,mpi-migrate,15,5
12,mpi-migrate,5,24
13,mpi-migrate,6,15
14,mpi-migrate,4,6
15,mpi-migrate,10,17
16,mpi-migrate,2,2
17,mpi-migrate,6,1
18,mpi-migrate,7,10
19,mpi-migrate,7,19
20,mpi-migrate,10,9
21,mpi-migrate,4,3
22,mpi-migrate,6,10
23,mpi-migrate,15,13
24,mpi-migrate,9,0
25,mpi-migrate,7,5
26,mpi-migrate,13,2
27,mpi-migrate,6,20
28,mpi-migrate,12,1
29,mpi-migrate,15,10
30,mpi-migrate,5,28
31,mpi-migrate,6,7
32,mpi-migrate,5,9
33,mpi-migrate,11,15
34,mpi-migrate,13,43
35,mpi-migrate,11,0
36,mpi-migrate,12,4
37,mpi-migrate,13,2
38,mpi-migrate,4,3
39,mpi-migrate,2,18
40,mpi-migrate,4,15
41,mpi-migrate,15,2
42,mpi-migrate,7,50
43,mpi-migrate,13,36
44,mpi-migrate,11,0
45,mpi-migrate,5,7
46,mpi-migrate,3,2
47,mpi-migrate,2,17
48,mpi-migrate,11,22
49,mpi-migrate,11,20
50,mpi-migrate,4,21
51,mpi-migrate,15,9
52,mpi-migrate,6,0
53,mpi-migrate,4,2
54,mpi-migrate,10,11
55,mpi-migrate,4,7
56,mpi-migrate,2,0
57,mpi-migrate,14,4
58,mpi-migrate,5,12
59,mpi-migrate,11,0
60,mpi-migrate,15,0
61,mpi-migrate,7,5
62,mpi-migrate,9,21
63,mpi-migrate,14,17
64,mpi-migrate,13,3
65,mpi-migrate,15,12
66,mpi-migrate,7,15
67,mpi-migrate,8,6
68,mpi-migrate,4,8
69,mpi-migrate,10,19
70,mpi-migrate,14,5
71,mpi-migrate,6,0
72,mpi-migrate,6,0
73,mpi-migrate,13,10
74,mpi-migrate,12,1
