TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,6,0
1,mpi-migrate,13,1
2,mpi-migrate,4,18
3,mpi-migrate,12,8
4,mpi-migrate,3,23
5,mpi-migrate,2,64
6,mpi-migrate,8,12
7,mpi-migrate,9,2
8,mpi-migrate,7,14
9,mpi-migrate,4,1
10,mpi-migrate,2,12
11,mpi-migrate,10,4
12,mpi-migrate,12,10
13,mpi-migrate,5,12
14,mpi-migrate,11,1
15,mpi-migrate,14,12
16,mpi-migrate,12,16
17,mpi-migrate,10,8
18,mpi-migrate,11,13
19,mpi-migrate,9,5
20,mpi-migrate,11,16
21,mpi-migrate,8,2
22,mpi-migrate,13,2
23,mpi-migrate,11,2
24,mpi-migrate,5,4
25,mpi-migrate,8,4
26,mpi-migrate,9,0
27,mpi-migrate,7,3
28,mpi-migrate,5,3
29,mpi-migrate,11,10
30,mpi-migrate,2,14
31,mpi-migrate,11,0
32,mpi-migrate,15,24
33,mpi-migrate,4,4
34,mpi-migrate,7,8
35,mpi-migrate,5,5
36,mpi-migrate,7,2
37,mpi-migrate,4,3
38,mpi-migrate,14,5
39,mpi-migrate,2,6
40,mpi-migrate,11,41
41,mpi-migrate,12,2
42,mpi-migrate,5,0
43,mpi-migrate,8,0
44,mpi-migrate,2,1
45,mpi-migrate,8,3
46,mpi-migrate,2,0
47,mpi-migrate,8,19
48,mpi-migrate,7,26
49,mpi-migrate,12,7
50,mpi-migrate,10,7
51,mpi-migrate,14,6
52,mpi-migrate,15,2
53,mpi-migrate,8,6
54,mpi-migrate,6,0
55,mpi-migrate,4,24
56,mpi-migrate,2,8
57,mpi-migrate,10,4
58,mpi-migrate,12,8
59,mpi-migrate,8,6
60,mpi-migrate,6,17
61,mpi-migrate,8,8
62,mpi-migrate,9,2
63,mpi-migrate,5,13
64,mpi-migrate,14,8
65,mpi-migrate,7,0
66,mpi-migrate,7,6
67,mpi-migrate,6,10
68,mpi-migrate,8,4
69,mpi-migrate,4,5
70,mpi-migrate,7,3
71,mpi-migrate,12,3
72,mpi-migrate,14,7
73,mpi-migrate,8,19
74,mpi-migrate,12,1
75,mpi-migrate,7,1
76,mpi-migrate,9,10
77,mpi-migrate,12,3
78,mpi-migrate,13,17
79,mpi-migrate,10,0
