TaskId,App,Size,InterArrivalTimeSecs
0,mpi-locality,2,0
1,mpi-locality,10,19
2,mpi-locality,15,5
3,mpi-locality,11,0
4,mpi-locality,11,8
5,mpi-locality,10,3
6,mpi-locality,4,27
7,mpi-locality,5,1
8,mpi-locality,15,8
9,mpi-locality,13,10
10,mpi-locality,2,2
11,mpi-locality,11,5
12,mpi-locality,14,29
13,mpi-locality,11,8
14,mpi-locality,12,8
15,mpi-locality,4,14
16,mpi-locality,4,4
17,mpi-locality,12,20
18,mpi-locality,2,9
19,mpi-locality,12,3
20,mpi-locality,8,14
21,mpi-locality,3,1
22,mpi-locality,13,32
23,mpi-locality,2,16
24,mpi-locality,5,10
25,mpi-locality,3,13
26,mpi-locality,5,6
27,mpi-locality,11,5
28,mpi-locality,3,32
29,mpi-locality,8,7
30,mpi-locality,8,5
31,mpi-locality,6,12
32,mpi-locality,15,0
33,mpi-locality,4,17
34,mpi-locality,6,4
35,mpi-locality,7,2
36,mpi-locality,7,13
37,mpi-locality,7,13
38,mpi-locality,13,0
39,mpi-locality,9,0
40,mpi-locality,9,2
41,mpi-locality,12,6
42,mpi-locality,11,4
43,mpi-locality,7,0
44,mpi-locality,4,1
45,mpi-locality,11,3
46,mpi-locality,3,9
47,mpi-locality,4,4
48,mpi-locality,9,24
49,mpi-locality,2,8
50,mpi-locality,4,8
51,mpi-locality,2,3
52,mpi-locality,14,5
53,mpi-locality,2,1
54,mpi-locality,9,13
55,mpi-locality,7,1
56,mpi-locality,6,20
57,mpi-locality,5,26
58,mpi-locality,5,0
59,mpi-locality,3,15
60,mpi-locality,12,1
61,mpi-locality,3,3
62,mpi-locality,10,40
63,mpi-locality,13,15
64,mpi-locality,7,5
65,mpi-locality,15,2
66,mpi-locality,3,1
67,mpi-locality,15,2
68,mpi-locality,4,5
69,mpi-locality,11,0
70,mpi-locality,13,5
71,mpi-locality,5,4
72,mpi-locality,11,4
73,mpi-locality,5,7
74,mpi-locality,15,0
