TaskId,App,Size,InterArrivalTimeSecs
0,mpi-locality,2,0
1,mpi-locality,15,0
2,mpi-locality,3,38
3,mpi-locality,8,31
4,mpi-locality,5,1
5,mpi-locality,2,6
6,mpi-locality,5,11
7,mpi-locality,5,4
8,mpi-locality,6,35
9,mpi-locality,2,5
10,mpi-locality,6,15
11,mpi-locality,10,15
12,mpi-locality,6,8
13,mpi-locality,11,2
14,mpi-locality,8,4
15,mpi-locality,14,0
16,mpi-locality,12,2
17,mpi-locality,11,13
18,mpi-locality,3,3
19,mpi-locality,13,29
20,mpi-locality,11,11
21,mpi-locality,3,0
22,mpi-locality,12,14
23,mpi-locality,14,16
24,mpi-locality,10,3
25,mpi-locality,12,18
26,mpi-locality,4,46
27,mpi-locality,12,41
28,mpi-locality,6,29
29,mpi-locality,4,7
30,mpi-locality,15,7
31,mpi-locality,15,4
32,mpi-locality,2,7
33,mpi-locality,7,12
34,mpi-locality,13,3
35,mpi-locality,12,8
36,mpi-locality,7,0
37,mpi-locality,8,18
38,mpi-locality,6,7
39,mpi-locality,11,0
40,mpi-locality,6,17
41,mpi-locality,15,3
42,mpi-locality,2,17
43,mpi-locality,12,24
44,mpi-locality,9,9
45,mpi-locality,6,24
46,mpi-locality,9,0
47,mpi-locality,8,21
48,mpi-locality,3,1
49,mpi-locality,8,7
50,mpi-locality,15,4
51,mpi-locality,2,0
52,mpi-locality,8,8
53,mpi-locality,11,6
54,mpi-locality,15,6
55,mpi-locality,3,3
56,mpi-locality,10,0
57,mpi-locality,7,4
58,mpi-locality,8,16
59,mpi-locality,11,1
60,mpi-locality,7,7
61,mpi-locality,5,1
62,mpi-locality,15,0
63,mpi-locality,15,6
64,mpi-locality,5,9
65,mpi-locality,9,5
66,mpi-locality,6,1
67,mpi-locality,13,5
68,mpi-locality,4,4
69,mpi-locality,10,2
70,mpi-locality,6,4
71,mpi-locality,9,0
72,mpi-locality,5,18
73,mpi-locality,15,32
74,mpi-locality,7,1
75,mpi-locality,15,2
76,mpi-locality,4,21
77,mpi-locality,15,0
78,mpi-locality,5,9
79,mpi-locality,12,3
80,mpi-locality,12,5
81,mpi-locality,3,24
82,mpi-locality,14,2
83,mpi-locality,13,7
84,mpi-locality,9,13
85,mpi-locality,13,35
86,mpi-locality,5,0
87,mpi-locality,15,0
88,mpi-locality,12,23
89,mpi-locality,4,3
90,mpi-locality,3,34
91,mpi-locality,10,0
92,mpi-locality,12,8
93,mpi-locality,14,34
94,mpi-locality,9,0
95,mpi-locality,2,1
96,mpi-locality,14,1
97,mpi-locality,15,0
98,mpi-locality,11,6
99,mpi-locality,3,4
100,mpi-locality,15,1
101,mpi-locality,4,14
102,mpi-locality,12,4
103,mpi-locality,2,0
104,mpi-locality,4,10
105,mpi-locality,15,9
106,mpi-locality,10,14
107,mpi-locality,5,7
108,mpi-locality,4,9
109,mpi-locality,6,17
110,mpi-locality,8,13
111,mpi-locality,8,15
112,mpi-locality,11,24
113,mpi-locality,15,5
114,mpi-locality,15,1
115,mpi-locality,12,11
116,mpi-locality,15,9
117,mpi-locality,7,12
118,mpi-locality,4,1
119,mpi-locality,14,6
120,mpi-locality,4,3
121,mpi-locality,9,2
122,mpi-locality,6,9
123,mpi-locality,9,3
124,mpi-locality,8,45
125,mpi-locality,5,0
126,mpi-locality,6,20
127,mpi-locality,3,8
128,mpi-locality,9,4
129,mpi-locality,11,0
130,mpi-locality,14,11
131,mpi-locality,3,2
132,mpi-locality,4,26
133,mpi-locality,13,6
134,mpi-locality,6,43
135,mpi-locality,7,2
136,mpi-locality,7,1
137,mpi-locality,10,2
138,mpi-locality,13,14
139,mpi-locality,9,2
140,mpi-locality,3,10
141,mpi-locality,9,16
142,mpi-locality,2,3
143,mpi-locality,6,13
144,mpi-locality,3,15
145,mpi-locality,14,17
146,mpi-locality,2,16
147,mpi-locality,8,4
148,mpi-locality,7,6
149,mpi-locality,5,12
