TaskId,App,Size,InterArrivalTimeSecs
0,mpi-locality,12,0
1,mpi-locality,8,0
2,mpi-locality,13,16
3,mpi-locality,7,14
4,mpi-locality,10,5
5,mpi-locality,13,7
6,mpi-locality,2,28
7,mpi-locality,5,5
8,mpi-locality,15,3
9,mpi-locality,14,0
10,mpi-locality,15,26
11,mpi-locality,8,32
12,mpi-locality,2,30
13,mpi-locality,6,0
14,mpi-locality,13,1
15,mpi-locality,8,13
16,mpi-locality,10,17
17,mpi-locality,6,2
18,mpi-locality,6,11
19,mpi-locality,9,0
20,mpi-locality,8,0
21,mpi-locality,9,1
22,mpi-locality,7,9
23,mpi-locality,3,20
24,mpi-locality,13,0
25,mpi-locality,14,1
26,mpi-locality,11,13
27,mpi-locality,5,2
28,mpi-locality,5,19
29,mpi-locality,4,41
30,mpi-locality,5,2
31,mpi-locality,11,53
32,mpi-locality,8,0
33,mpi-locality,13,18
34,mpi-locality,2,5
35,mpi-locality,2,4
36,mpi-locality,7,23
37,mpi-locality,9,10
38,mpi-locality,7,8
39,mpi-locality,13,4
40,mpi-locality,14,2
41,mpi-locality,15,4
42,mpi-locality,14,20
43,mpi-locality,13,0
44,mpi-locality,5,2
45,mpi-locality,5,27
46,mpi-locality,8,7
47,mpi-locality,10,8
48,mpi-locality,13,0
49,mpi-locality,11,24
