TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,15,0
1,mpi-migrate,5,1
2,mpi-migrate,13,0
3,mpi-migrate,14,31
4,mpi-migrate,12,18
5,mpi-migrate,7,5
6,mpi-migrate,4,25
7,mpi-migrate,11,3
8,mpi-migrate,15,3
9,mpi-migrate,7,7
10,mpi-migrate,6,29
11,mpi-migrate,9,4
12,mpi-migrate,5,10
13,mpi-migrate,13,1
14,mpi-migrate,15,11
15,mpi-migrate,14,9
16,mpi-migrate,13,2
17,mpi-migrate,9,0
18,mpi-migrate,10,5
19,mpi-migrate,6,23
20,mpi-migrate,12,6
21,mpi-migrate,15,4
22,mpi-migrate,12,1
23,mpi-migrate,11,2
24,mpi-migrate,4,20
