TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,8,0
1,mpi-migrate,8,5
2,mpi-migrate,6,2
3,mpi-migrate,4,1
4,mpi-migrate,9,9
5,mpi-migrate,14,19
6,mpi-migrate,12,21
7,mpi-migrate,5,15
8,mpi-migrate,8,8
9,mpi-migrate,13,5
10,mpi-migrate,15,26
11,mpi-migrate,15,0
12,mpi-migrate,11,4
13,mpi-migrate,5,32
14,mpi-migrate,11,9
15,mpi-migrate,13,7
16,mpi-migrate,8,8
17,mpi-migrate,5,5
18,mpi-migrate,13,2
19,mpi-migrate,14,13
20,mpi-migrate,7,12
21,mpi-migrate,5,1
22,mpi-migrate,14,7
23,mpi-migrate,5,1
24,mpi-migrate,14,1
25,mpi-migrate,9,13
26,mpi-migrate,15,22
27,mpi-migrate,6,3
28,mpi-migrate,4,5
29,mpi-migrate,10,6
30,mpi-migrate,5,1
31,mpi-migrate,9,0
32,mpi-migrate,8,6
33,mpi-migrate,12,3
34,mpi-migrate,6,4
35,mpi-migrate,13,17
36,mpi-migrate,11,11
37,mpi-migrate,7,23
38,mpi-migrate,4,11
39,mpi-migrate,15,8
40,mpi-migrate,13,39
41,mpi-migrate,11,6
42,mpi-migrate,4,10
43,mpi-migrate,6,10
44,mpi-migrate,6,1
45,mpi-migrate,15,31
46,mpi-migrate,11,5
47,mpi-migrate,5,9
48,mpi-migrate,5,0
49,mpi-migrate,13,4
50,mpi-migrate,10,9
51,mpi-migrate,6,0
52,mpi-migrate,11,13
53,mpi-migrate,10,4
54,mpi-migrate,5,3
55,mpi-migrate,14,30
56,mpi-migrate,8,7
57,mpi-migrate,14,6
58,mpi-migrate,8,0
59,mpi-migrate,7,8
60,mpi-migrate,13,10
61,mpi-migrate,10,1
62,mpi-migrate,10,4
63,mpi-migrate,4,25
64,mpi-migrate,13,12
65,mpi-migrate,15,9
66,mpi-migrate,15,32
67,mpi-migrate,8,24
68,mpi-migrate,12,5
69,mpi-migrate,8,1
70,mpi-migrate,5,15
71,mpi-migrate,13,4
72,mpi-migrate,13,0
73,mpi-migrate,10,12
74,mpi-migrate,12,19
