TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,15,0
1,mpi-migrate,13,7
2,mpi-migrate,8,10
3,mpi-migrate,11,2
4,mpi-migrate,7,8
5,mpi-migrate,11,6
6,mpi-migrate,9,4
7,mpi-migrate,8,6
8,mpi-migrate,6,16
9,mpi-migrate,13,12
10,mpi-migrate,4,6
11,mpi-migrate,4,6
12,mpi-migrate,6,10
13,mpi-migrate,9,35
14,mpi-migrate,5,10
15,mpi-migrate,6,17
16,mpi-migrate,9,14
17,mpi-migrate,9,0
18,mpi-migrate,10,18
19,mpi-migrate,9,24
20,mpi-migrate,12,6
21,mpi-migrate,7,17
22,mpi-migrate,10,11
23,mpi-migrate,9,16
24,mpi-migrate,6,24
25,mpi-migrate,4,2
26,mpi-migrate,7,8
27,mpi-migrate,12,33
28,mpi-migrate,13,2
29,mpi-migrate,4,11
30,mpi-migrate,13,13
31,mpi-migrate,4,13
32,mpi-migrate,6,5
33,mpi-migrate,7,0
34,mpi-migrate,5,29
35,mpi-migrate,10,54
36,mpi-migrate,5,5
37,mpi-migrate,8,2
38,mpi-migrate,13,2
39,mpi-migrate,5,17
40,mpi-migrate,4,0
41,mpi-migrate,11,4
42,mpi-migrate,14,4
43,mpi-migrate,15,16
44,mpi-migrate,12,0
45,mpi-migrate,14,8
46,mpi-migrate,15,9
47,mpi-migrate,6,3
48,mpi-migrate,12,2
49,mpi-migrate,5,9
