TaskId,App,Size,InterArrivalTimeSecs
0,mpi-locality,13,0
1,mpi-locality,2,14
2,mpi-locality,2,4
3,mpi-locality,12,4
4,mpi-locality,15,4
5,mpi-locality,13,4
6,mpi-locality,12,11
7,mpi-locality,9,49
8,mpi-locality,3,3
9,mpi-locality,14,1
10,mpi-locality,8,4
11,mpi-locality,11,5
12,mpi-locality,12,15
13,mpi-locality,12,5
14,mpi-locality,13,11
15,mpi-locality,10,1
16,mpi-locality,2,5
17,mpi-locality,8,1
18,mpi-locality,8,5
19,mpi-locality,2,2
20,mpi-locality,3,37
21,mpi-locality,10,8
22,mpi-locality,10,9
23,mpi-locality,15,4
24,mpi-locality,11,5
25,mpi-locality,11,6
26,mpi-locality,9,32
27,mpi-locality,10,16
28,mpi-locality,5,2
29,mpi-locality,5,10
30,mpi-locality,15,5
31,mpi-locality,8,7
32,mpi-locality,3,2
33,mpi-locality,4,1
34,mpi-locality,13,3
35,mpi-locality,13,1
36,mpi-locality,4,5
37,mpi-locality,15,7
38,mpi-locality,3,4
39,mpi-locality,13,19
40,mpi-locality,13,1
41,mpi-locality,7,2
42,mpi-locality,2,3
43,mpi-locality,9,3
44,mpi-locality,10,7
45,mpi-locality,6,77
46,mpi-locality,6,0
47,mpi-locality,12,9
48,mpi-locality,8,24
49,mpi-locality,11,28
50,mpi-locality,14,2
51,mpi-locality,8,9
52,mpi-locality,7,0
53,mpi-locality,11,5
54,mpi-locality,9,12
55,mpi-locality,6,5
56,mpi-locality,2,44
57,mpi-locality,9,15
58,mpi-locality,8,7
59,mpi-locality,4,18
60,mpi-locality,14,9
61,mpi-locality,3,21
62,mpi-locality,11,0
63,mpi-locality,6,13
64,mpi-locality,9,2
65,mpi-locality,3,1
66,mpi-locality,12,26
67,mpi-locality,2,1
68,mpi-locality,2,7
69,mpi-locality,12,2
70,mpi-locality,15,27
71,mpi-locality,13,2
72,mpi-locality,15,5
73,mpi-locality,2,4
74,mpi-locality,8,5
75,mpi-locality,5,4
76,mpi-locality,14,1
77,mpi-locality,9,66
78,mpi-locality,11,3
79,mpi-locality,10,2
80,mpi-locality,12,3
81,mpi-locality,15,7
82,mpi-locality,3,7
83,mpi-locality,12,4
84,mpi-locality,9,11
85,mpi-locality,4,19
86,mpi-locality,9,13
87,mpi-locality,5,9
88,mpi-locality,8,5
89,mpi-locality,11,5
90,mpi-locality,5,11
91,mpi-locality,3,0
92,mpi-locality,12,21
93,mpi-locality,6,5
94,mpi-locality,10,8
95,mpi-locality,3,5
96,mpi-locality,15,72
97,mpi-locality,7,15
98,mpi-locality,8,9
99,mpi-locality,10,9
100,mpi-locality,10,9
101,mpi-locality,11,3
102,mpi-locality,13,3
103,mpi-locality,11,1
104,mpi-locality,4,2
105,mpi-locality,11,20
106,mpi-locality,6,9
107,mpi-locality,10,7
108,mpi-locality,6,15
109,mpi-locality,6,5
110,mpi-locality,13,1
111,mpi-locality,15,2
112,mpi-locality,3,4
113,mpi-locality,11,5
114,mpi-locality,8,1
115,mpi-locality,8,6
116,mpi-locality,11,4
117,mpi-locality,3,10
118,mpi-locality,6,32
119,mpi-locality,15,9
120,mpi-locality,14,8
121,mpi-locality,5,2
122,mpi-locality,8,16
123,mpi-locality,6,2
124,mpi-locality,10,19
125,mpi-locality,11,5
126,mpi-locality,6,17
127,mpi-locality,12,5
128,mpi-locality,3,4
129,mpi-locality,2,20
130,mpi-locality,7,11
131,mpi-locality,11,4
132,mpi-locality,10,8
133,mpi-locality,8,3
134,mpi-locality,10,32
135,mpi-locality,13,21
136,mpi-locality,7,13
137,mpi-locality,11,10
138,mpi-locality,4,16
139,mpi-locality,6,5
140,mpi-locality,11,0
141,mpi-locality,10,5
142,mpi-locality,5,8
143,mpi-locality,2,4
144,mpi-locality,9,3
145,mpi-locality,6,6
146,mpi-locality,8,13
147,mpi-locality,11,30
148,mpi-locality,6,2
149,mpi-locality,2,0
150,mpi-locality,7,46
151,mpi-locality,9,43
152,mpi-locality,3,45
153,mpi-locality,13,0
154,mpi-locality,12,35
155,mpi-locality,15,16
156,mpi-locality,14,1
157,mpi-locality,14,12
158,mpi-locality,14,11
159,mpi-locality,12,13
160,mpi-locality,11,4
161,mpi-locality,8,6
162,mpi-locality,4,7
163,mpi-locality,13,28
164,mpi-locality,9,1
165,mpi-locality,2,6
166,mpi-locality,8,1
167,mpi-locality,6,4
168,mpi-locality,2,0
169,mpi-locality,4,7
170,mpi-locality,2,7
171,mpi-locality,5,7
172,mpi-locality,14,8
173,mpi-locality,6,2
174,mpi-locality,8,11
175,mpi-locality,11,3
176,mpi-locality,14,6
177,mpi-locality,4,0
178,mpi-locality,15,0
179,mpi-locality,14,6
180,mpi-locality,8,26
181,mpi-locality,4,7
182,mpi-locality,6,17
183,mpi-locality,15,4
184,mpi-locality,4,7
185,mpi-locality,8,30
186,mpi-locality,9,7
187,mpi-locality,15,11
188,mpi-locality,3,4
189,mpi-locality,7,27
190,mpi-locality,14,14
191,mpi-locality,14,4
192,mpi-locality,11,17
193,mpi-locality,3,4
194,mpi-locality,4,6
195,mpi-locality,8,4
196,mpi-locality,13,10
197,mpi-locality,4,1
198,mpi-locality,5,3
199,mpi-locality,4,12
