TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,2,0
1,mpi-migrate,6,17
2,mpi-migrate,15,7
3,mpi-migrate,5,1
4,mpi-migrate,8,4
5,mpi-migrate,7,10
6,mpi-migrate,11,17
7,mpi-migrate,2,6
8,mpi-migrate,5,18
9,mpi-migrate,5,2
10,mpi-migrate,5,12
11,mpi-migrate,9,14
12,mpi-migrate,13,3
13,mpi-migrate,4,2
14,mpi-migrate,7,1
15,mpi-migrate,12,6
16,mpi-migrate,10,2
17,mpi-migrate,8,31
18,mpi-migrate,3,25
19,mpi-migrate,14,4
20,mpi-migrate,5,10
21,mpi-migrate,3,9
22,mpi-migrate,3,7
23,mpi-migrate,12,15
24,mpi-migrate,12,6
